"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 16 18:53:04 GMT 2025","Thu Jan 16 18:53:04 GMT 2025","337","Microsoft Edge","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 5: POST To Search Product (Positive test + preconditions for term ""jeans""",""
"passed","Thu Jan 16 18:55:39 GMT 2025","Thu Jan 16 18:55:39 GMT 2025","155","Mobile_Chrome","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 4: PUT To All Brands List",""
"passed","Thu Jan 16 18:51:16 GMT 2025","Thu Jan 16 18:51:20 GMT 2025","3858","Webkit","e2e/contactUs_subscription.spec.js","Tests for the sections: Contact Us, Subscriptions","","","Test Case 10: Verify Subscription in home page",""
"passed","Thu Jan 16 18:57:46 GMT 2025","Thu Jan 16 18:57:50 GMT 2025","4340","Mobile_Chrome","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 19: View & Cart Brand Products",""
"passed","Thu Jan 16 18:57:17 GMT 2025","Thu Jan 16 18:57:22 GMT 2025","4277","Mobile_Chrome","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 8: Verify All Products and product detail page",""
"passed","Thu Jan 16 18:46:13 GMT 2025","Thu Jan 16 18:46:13 GMT 2025","561","chromium","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 3: Get All Brands List",""
"passed","Thu Jan 16 18:55:39 GMT 2025","Thu Jan 16 18:55:39 GMT 2025","112","Mobile_Chrome","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 5: POST To Search Product (Positive test + preconditions for term ""jeans""",""
"passed","Thu Jan 16 18:56:35 GMT 2025","Thu Jan 16 18:56:41 GMT 2025","5345","Mobile_Chrome","e2e/contactUs_subscription.spec.js","Tests for the sections: Contact Us, Subscriptions","","","Test Case 10: Verify Subscription in home page",""
"passed","Thu Jan 16 18:49:24 GMT 2025","Thu Jan 16 18:49:29 GMT 2025","5104","firefox","e2e/otherTests.spec.js","Tests for the sections: Other tests","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"passed","Thu Jan 16 18:53:23 GMT 2025","Thu Jan 16 18:53:32 GMT 2025","8935","Microsoft Edge","e2e/cartCheckoutPayment.spec.js","Tests for the sections: Cart, Checkout, Payment","","","Test Case 17: Remove Products From Cart",""
"passed","Thu Jan 16 18:48:03 GMT 2025","Thu Jan 16 18:48:04 GMT 2025","665","firefox","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 10: POST To Verify Login with invalid details",""
"passed","Thu Jan 16 18:58:29 GMT 2025","Thu Jan 16 18:58:30 GMT 2025","243","Mobile_Safari","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 3: Get All Brands List",""
"passed","Thu Jan 16 18:48:23 GMT 2025","Thu Jan 16 18:48:26 GMT 2025","3504","chromium","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 18: View Category Products",""
"passed","Thu Jan 16 18:48:22 GMT 2025","Thu Jan 16 18:48:40 GMT 2025","17757","firefox","e2e/cartCheckoutPayment.spec.js","Tests for the sections: Cart, Checkout, Payment","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"passed","Thu Jan 16 18:55:46 GMT 2025","Thu Jan 16 18:55:50 GMT 2025","3202","Microsoft Edge","e2e/signupLogin.spec.js","Tests for the sections: Sign Up, Login","","","Test Case 3: Login User with incorrect email and password",""
"passed","Thu Jan 16 18:49:42 GMT 2025","Thu Jan 16 18:49:45 GMT 2025","3082","firefox","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 19: View & Cart Brand Products",""
"passed","Thu Jan 16 18:50:23 GMT 2025","Thu Jan 16 18:50:23 GMT 2025","354","Webkit","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 4: PUT To All Brands List",""
"passed","Thu Jan 16 18:51:57 GMT 2025","Thu Jan 16 18:52:01 GMT 2025","3130","Webkit","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 8: Verify All Products and product detail page",""
"passed","Thu Jan 16 18:54:58 GMT 2025","Thu Jan 16 18:55:04 GMT 2025","5730","Microsoft Edge","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 9: Search Product",""
"passed","Thu Jan 16 18:47:30 GMT 2025","Thu Jan 16 18:47:33 GMT 2025","2278","chromium","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 19: View & Cart Brand Products",""
"passed","Thu Jan 16 18:48:04 GMT 2025","Thu Jan 16 18:48:05 GMT 2025","829","firefox","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 14: GET user account detail by email",""
"passed","Thu Jan 16 18:50:22 GMT 2025","Thu Jan 16 18:50:23 GMT 2025","238","Webkit","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 2: POST To All Products List",""
"passed","Thu Jan 16 18:55:38 GMT 2025","Thu Jan 16 18:55:39 GMT 2025","139","Mobile_Chrome","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 3: Get All Brands List",""
"passed","Thu Jan 16 18:59:40 GMT 2025","Thu Jan 16 18:59:42 GMT 2025","2109","Mobile_Safari","e2e/contactUs_subscription.spec.js","Tests for the sections: Contact Us, Subscriptions","","","Test Case 11: Verify Subscription in Cart page",""
"passed","Thu Jan 16 18:53:04 GMT 2025","Thu Jan 16 18:53:04 GMT 2025","254","Microsoft Edge","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 5: POST To Search Product (Positive test + preconditions for term ""top""",""
"passed","Thu Jan 16 18:51:46 GMT 2025","Thu Jan 16 18:51:56 GMT 2025","9616","Webkit","e2e/otherTests.spec.js","Tests for the sections: Other tests","","","Test Case 25: Verify Scroll Up using ""Arrow"" button and Scroll Down functionality",""
"passed","Thu Jan 16 18:58:29 GMT 2025","Thu Jan 16 18:58:29 GMT 2025","226","Mobile_Safari","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 2: POST To All Products List",""
"passed","Thu Jan 16 18:47:35 GMT 2025","Thu Jan 16 18:47:45 GMT 2025","9922","chromium","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 20: Search Products and Verify Cart After Login",""
"passed","Thu Jan 16 18:47:49 GMT 2025","Thu Jan 16 18:47:54 GMT 2025","4714","chromium","e2e/signupLogin.spec.js","Tests for the sections: Sign Up, Login","","","Test Case 2: Login User with correct email and password",""
"passed","Thu Jan 16 18:48:01 GMT 2025","Thu Jan 16 18:48:02 GMT 2025","356","firefox","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 3: Get All Brands List",""
"passed","Thu Jan 16 18:50:43 GMT 2025","Thu Jan 16 18:51:07 GMT 2025","24428","Webkit","e2e/cartCheckoutPayment.spec.js","Tests for the sections: Cart, Checkout, Payment","","","Test Case 12: Hover and click ""Add to cart"" button for two different products with different quantity",""
"passed","Thu Jan 16 19:00:20 GMT 2025","Thu Jan 16 19:00:24 GMT 2025","4243","Mobile_Safari","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 9: Search Product",""
"passed","Thu Jan 16 19:01:06 GMT 2025","Thu Jan 16 19:01:18 GMT 2025","11486","Mobile_Safari","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 20: Search Products and Verify Cart After Login",""
"passed","Thu Jan 16 18:47:03 GMT 2025","Thu Jan 16 18:47:07 GMT 2025","3612","chromium","e2e/contactUs_subscription.spec.js","Tests for the sections: Contact Us, Subscriptions","","","Test Case 11: Verify Subscription in Cart page",""
"passed","Thu Jan 16 18:51:36 GMT 2025","Thu Jan 16 18:51:41 GMT 2025","4215","Webkit","e2e/otherTests.spec.js","Tests for the sections: Other tests","","","Test Case 7: Verify Test Cases Page",""
"passed","Thu Jan 16 18:59:59 GMT 2025","Thu Jan 16 19:00:02 GMT 2025","3498","Mobile_Safari","e2e/otherTests.spec.js","Tests for the sections: Other tests","","","Test Case 7: Verify Test Cases Page",""
"passed","Thu Jan 16 19:00:24 GMT 2025","Thu Jan 16 19:00:28 GMT 2025","3384","Mobile_Safari","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 21: Add review on product",""
"passed","Thu Jan 16 18:58:32 GMT 2025","Thu Jan 16 18:58:33 GMT 2025","540","Mobile_Safari","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 10: POST To Verify Login with invalid details",""
"passed","Thu Jan 16 18:46:38 GMT 2025","Thu Jan 16 18:46:46 GMT 2025","8426","chromium","e2e/cartCheckoutPayment.spec.js","Tests for the sections: Cart, Checkout, Payment","","","Test Case 15: Place Order: Register before Checkout",""
"passed","Thu Jan 16 18:52:01 GMT 2025","Thu Jan 16 18:52:04 GMT 2025","2904","Webkit","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 18: View Category Products",""
"passed","Thu Jan 16 18:54:00 GMT 2025","Thu Jan 16 18:54:04 GMT 2025","3904","Microsoft Edge","e2e/contactUs_subscription.spec.js","Tests for the sections: Contact Us, Subscriptions","","","Test Case 10: Verify Subscription in home page",""
"passed","Thu Jan 16 18:46:14 GMT 2025","Thu Jan 16 18:46:15 GMT 2025","524","chromium","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 13: PUT METHOD To Update User Account",""
"passed","Thu Jan 16 18:56:17 GMT 2025","Thu Jan 16 18:56:30 GMT 2025","13434","Mobile_Chrome","e2e/cartCheckoutPayment.spec.js","Tests for the sections: Cart, Checkout, Payment","","","Test Case 14: Place Order: Register while Checkout",""
"passed","Thu Jan 16 18:53:33 GMT 2025","Thu Jan 16 18:53:36 GMT 2025","2882","Microsoft Edge","e2e/cartCheckoutPayment.spec.js","Tests for the sections: Cart, Checkout, Payment","","","Test Case 22: Add to cart from Recommended items",""
"passed","Thu Jan 16 18:50:39 GMT 2025","Thu Jan 16 18:51:01 GMT 2025","21569","Webkit","e2e/cartCheckoutPayment.spec.js","Tests for the sections: Cart, Checkout, Payment","","","Test Case 14: Place Order: Register while Checkout",""
"passed","Thu Jan 16 18:59:35 GMT 2025","Thu Jan 16 18:59:39 GMT 2025","4022","Mobile_Safari","e2e/contactUs_subscription.spec.js","Tests for the sections: Contact Us, Subscriptions","","","Test Case 10: Verify Subscription in home page",""
"passed","Thu Jan 16 18:58:31 GMT 2025","Thu Jan 16 18:58:32 GMT 2025","513","Mobile_Safari","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 8: POST To Verify Login without email parameter",""
"passed","Thu Jan 16 18:58:33 GMT 2025","Thu Jan 16 18:58:33 GMT 2025","518","Mobile_Safari","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 14: GET user account detail by email",""
"passed","Thu Jan 16 18:51:52 GMT 2025","Thu Jan 16 18:51:56 GMT 2025","4144","Webkit","e2e/otherTests.spec.js","Tests for the sections: Other tests","","","Test Case 26: Verify Scroll Up without ""Arrow"" button and Scroll Down functionality",""
"passed","Thu Jan 16 18:57:31 GMT 2025","Thu Jan 16 18:57:38 GMT 2025","7430","Mobile_Chrome","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 9: Search Product",""
"passed","Thu Jan 16 19:00:28 GMT 2025","Thu Jan 16 19:00:31 GMT 2025","3602","Mobile_Safari","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 19: View & Cart Brand Products",""
"passed","Thu Jan 16 18:55:34 GMT 2025","Thu Jan 16 18:55:37 GMT 2025","3488","Microsoft Edge","e2e/signupLogin.spec.js","Tests for the sections: Sign Up, Login","","","Test Case 5: Register User with existing email",""
"passed","Thu Jan 16 18:52:08 GMT 2025","Thu Jan 16 18:52:12 GMT 2025","3263","Webkit","e2e/products.spec.js","Tests for the sections: Products","","","Test Case 19: View & Cart Brand Products",""
"passed","Thu Jan 16 18:53:04 GMT 2025","Thu Jan 16 18:53:04 GMT 2025","264","Microsoft Edge","api_tests/api_automation.spec.js","API tests for the site automationexercise.com","","","API_ 6: POST To Search Product without search_product parameter",""
